"Trial","Acquired","CRC","WireExact","SemanticExact","Correlation","Note"
"1","yes","yes","yes","yes","0.876223",""
"2","yes","yes","yes","yes","0.877340",""
"3","yes","yes","yes","yes","0.875073",""
